                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2935,                  3.993,                 2.6933,                 1.5524,                0.31028,                 0.6045,                0.36263,                 0.1657,                0.27368,                0.54283,                0.30378,                 0.1159,                 2.2063,                 3.7288,                 1.6223,                 1.3906,             7.2202e-05,             7.2202e-05,             7.2202e-05
                      2,                 1.9979,                 3.4638,                 1.6795,                 1.3456,                0.47449,                0.66324,                0.53434,                0.26283,                0.42813,                0.60615,                0.46962,                  0.193,                 2.0799,                 3.5072,                 1.3821,                 1.3072,               0.000135,               0.000135,               0.000135
                      3,                 1.9316,                 3.3167,                 1.5022,                 1.3147,                0.41824,                0.70259,                0.50018,                0.25065,                0.39129,                0.63849,                0.44087,                0.18215,                 2.0183,                 3.3911,                  1.289,                 1.2767,             0.00018824,             0.00018824,             0.00018824
                      4,                 1.9033,                 3.2311,                 1.4027,                 1.2945,                0.47938,                0.73872,                0.57509,                0.29105,                0.43722,                0.66962,                0.49754,                0.20751,                 1.9748,                   3.29,                 1.1715,                 1.2619,             0.00017403,             0.00017403,             0.00017403
                      5,                 1.8606,                 3.1445,                 1.3219,                 1.2723,                0.46659,                0.75738,                0.53121,                0.26801,                 0.4302,                0.69911,                0.46835,                0.19715,                 1.9542,                 3.2267,                 1.1346,                 1.2503,             0.00015971,             0.00015971,             0.00015971
                      6,                 1.8511,                 3.0846,                 1.2253,                 1.3212,                0.54396,                0.77902,                 0.6206,                0.32194,                0.49687,                0.71567,                0.54735,                 0.2349,                 1.9098,                 3.1711,                 1.0983,                 1.2331,             0.00014539,             0.00014539,             0.00014539
                      7,                 1.8202,                   3.03,                 1.1664,                 1.2963,                0.66303,                0.77452,                 0.7466,                0.38904,                0.60694,                0.71888,                0.65887,                0.28552,                 1.8979,                 3.1239,                 1.0437,                 1.2112,             0.00013107,             0.00013107,             0.00013107
                      8,                 1.7888,                 2.9607,                 1.1008,                  1.277,                0.76843,                0.78485,                0.80441,                0.42398,                 0.7089,                 0.7295,                0.71541,                0.31409,                 1.8645,                 3.0646,                 1.0036,                 1.1991,             0.00011675,             0.00011675,             0.00011675
                      9,                 1.7618,                 2.9096,                 1.0493,                 1.2603,                0.71302,                0.75214,                0.75921,                0.40172,                0.65676,                0.70292,                0.68221,                0.29465,                  1.864,                 3.0394,                0.97911,                 1.1933,             0.00010242,             0.00010242,             0.00010242
                     10,                 1.7387,                 2.8632,                 1.0105,                 1.2488,                0.77036,                0.77611,                0.81667,                0.43697,                0.72111,                0.71969,                0.73678,                0.31992,                 1.8217,                 2.9797,                0.95281,                 1.1776,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     11,                 1.7083,                 2.8156,                0.96923,                 1.2339,                0.84001,                0.82646,                0.86766,                0.46212,                0.77648,                0.76627,                0.77566,                0.34413,                 1.8127,                 2.9436,                0.91782,                 1.1783,              7.378e-05,              7.378e-05,              7.378e-05
                     12,                 1.6874,                 2.7782,                0.93419,                  1.219,                0.84546,                0.80603,                0.84873,                0.45521,                0.79157,                0.73877,                0.75714,                0.33572,                  1.798,                 2.9183,                0.90027,                 1.1654,             5.9458e-05,             5.9458e-05,             5.9458e-05
                     13,                 1.6619,                 2.7334,                0.89972,                 1.2055,                0.83553,                0.81712,                0.86126,                 0.4676,                0.77732,                0.76113,                 0.7767,                0.34481,                 1.7804,                 2.8859,                0.88513,                 1.1587,             4.5136e-05,             4.5136e-05,             4.5136e-05
                     14,                 1.6387,                 2.6996,                0.87287,                 1.1937,                0.85692,                0.82506,                0.87428,                0.47508,                0.79459,                0.76307,                0.78472,                0.34681,                 1.7669,                 2.8775,                0.87332,                  1.152,             3.0814e-05,             3.0814e-05,             3.0814e-05
                     15,                 1.6148,                 2.6613,                0.84941,                 1.1817,                0.86834,                0.83683,                0.87867,                0.47795,                0.80484,                0.77863,                0.79481,                0.35511,                 1.7456,                 2.8397,                0.85258,                 1.1444,             1.6492e-05,             1.6492e-05,             1.6492e-05
