                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6877,                 2.7974,                 1.0143,                 1.1702,                0.81273,                0.82485,                0.85455,                0.44935,                0.74618,                0.76144,                0.76102,                0.32984,                  1.803,                 2.9255,                0.89761,                 1.1694,             7.2202e-05,             7.2202e-05,             7.2202e-05
                      2,                 1.7058,                 2.8292,                 1.0304,                 1.1828,                0.86197,                0.83446,                0.87658,                0.45661,                0.80633,                0.76414,                0.78174,                0.33585,                 1.8172,                 2.9728,                0.93291,                 1.1715,               0.000135,               0.000135,               0.000135
                      3,                 1.7137,                 2.8371,                 1.0444,                 1.1903,                0.82998,                0.83752,                0.86262,                0.44461,                0.76619,                 0.7827,                0.77234,                0.32854,                 1.8384,                 2.9744,                0.94808,                 1.1808,             0.00018824,             0.00018824,             0.00018824
                      4,                 1.7156,                 2.8376,                 1.0405,                 1.1927,                0.63111,                0.72552,                 0.7064,                0.37142,                0.58097,                0.66966,                0.62634,                 0.2681,                 1.8337,                 2.9606,                0.94302,                 1.1878,             0.00017403,             0.00017403,             0.00017403
                      5,                 1.6882,                 2.7988,                 1.0089,                 1.1813,                0.82954,                0.80404,                0.86088,                0.44297,                0.76676,                0.75014,                0.77428,                0.32774,                 1.8047,                 2.9211,                0.91416,                 1.1732,             0.00015971,             0.00015971,             0.00015971
                      6,                 1.6691,                 2.7286,                0.91405,                 1.2132,                 0.8445,                0.83971,                0.87833,                0.46158,                0.78713,                0.78322,                0.79095,                 0.3442,                 1.7873,                 2.8998,                0.88923,                 1.1647,             0.00014539,             0.00014539,             0.00014539
                      7,                 1.6395,                 2.6885,                0.87912,                 1.1964,                0.84345,                0.83693,                0.86788,                0.45796,                0.78537,                 0.7757,                0.78587,                0.34353,                 1.7798,                 2.8908,                0.86574,                  1.162,             0.00013107,             0.00013107,             0.00013107
                      8,                 1.6109,                 2.6335,                0.84341,                 1.1823,                0.83792,                0.83436,                0.87484,                0.46617,                0.78191,                0.77506,                0.78897,                0.35081,                 1.7466,                 2.8272,                0.84653,                 1.1445,             0.00011675,             0.00011675,             0.00011675
                      9,                 1.5816,                  2.592,                0.81697,                 1.1671,                0.86766,                0.87544,                0.89632,                 0.4797,                0.80472,                0.81381,                0.80763,                  0.356,                 1.7428,                 2.8142,                0.82371,                 1.1407,             0.00010242,             0.00010242,             0.00010242
                     10,                 1.5595,                 2.5514,                0.79625,                 1.1585,                0.86019,                0.87257,                0.89121,                0.48593,                0.80009,                 0.8126,                0.80739,                0.35729,                 1.7126,                 2.7656,                0.80986,                 1.1315,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     11,                 1.5278,                 2.5105,                 0.7692,                 1.1441,                0.87178,                0.86847,                0.89694,                0.47739,                 0.8146,                0.81057,                0.81088,                0.36254,                 1.6905,                  2.742,                0.79303,                 1.1235,              7.378e-05,              7.378e-05,              7.378e-05
                     12,                 1.5079,                 2.4772,                0.74997,                 1.1318,                0.86317,                 0.8665,                0.89817,                0.48917,                0.80544,                0.80616,                0.81365,                0.36263,                 1.7024,                 2.7481,                0.78271,                 1.1256,             5.9458e-05,             5.9458e-05,             5.9458e-05
                     13,                 1.4802,                 2.4414,                0.73274,                 1.1197,                0.87806,                0.87252,                0.90295,                0.49332,                0.83542,                0.80202,                0.82403,                0.36891,                  1.675,                 2.7136,                0.77056,                 1.1183,             4.5136e-05,             4.5136e-05,             4.5136e-05
                     14,                 1.4579,                 2.4115,                0.71772,                  1.109,                0.85468,                0.87287,                0.89642,                0.49572,                0.78995,                0.81344,                0.81256,                0.36574,                 1.6718,                 2.7324,                 0.7628,                 1.1153,             3.0814e-05,             3.0814e-05,             3.0814e-05
                     15,                 1.4388,                 2.3795,                0.70399,                 1.1006,                0.87412,                0.88067,                  0.901,                0.49714,                0.82077,                0.81499,                0.82107,                0.37244,                 1.6472,                  2.686,                0.75299,                 1.1064,             1.6492e-05,             1.6492e-05,             1.6492e-05
